episode_id,timestep,episode_len,train_episode_return,num_achievements_unlocked,termination_reason
445,75316,155,1.45,6,died
446,75506,190,0.8,3,died
447,75660,154,1.3,4,died
448,75908,248,1.8,5,died
449,76076,168,0.9,3,died
450,76263,187,1.3,3,died
451,76461,198,1.0,3,died
452,76632,171,1.0,3,died
453,76729,97,0.8,3,died
454,76876,147,1.1,4,died
455,77023,147,0.6,1,died
456,77209,186,1.4,5,died
457,77414,205,1.8,5,died
458,77596,182,1.3,5,died
459,77779,183,1.2,3,died
460,77919,140,1.65,5,died
461,78145,226,1.2,3,died
462,78308,163,0.7,3,died
463,78461,153,0.5,0,died
464,78520,59,0.3,1,died
465,78680,160,1.3,3,died
466,78849,169,1.35,5,died
467,79046,197,1.4,5,died
468,79199,153,1.0,3,died
469,79391,192,0.9,4,died
470,79555,164,1.0,4,died
471,79721,166,1.6,4,died
472,79960,239,1.0,3,died
473,80120,160,0.8,3,died
474,80303,183,1.1,4,died
475,80455,152,1.2,3,died
476,80628,173,0.8,1,died
477,80831,203,1.65,6,died
478,80989,158,1.5,4,died
479,81143,154,1.0,4,died
480,81215,72,0.5,1,died
481,81378,163,1.2,3,died
482,81574,196,1.3,3,died
483,81761,187,1.3,4,died
484,81913,152,1.1,3,died
485,82108,195,0.9,3,died
486,82275,167,1.2,3,died
487,82545,270,1.8,4,died
488,82640,95,0.8,2,died
489,82808,168,0.9,3,died
490,82949,141,1.1,3,died
491,83147,198,1.1,3,died
492,83273,126,0.9,5,died
493,83427,154,1.8,6,died
494,83556,129,0.9,3,died
495,83649,93,0.7,2,died
496,83821,172,1.1,3,died
497,83996,175,1.5,3,died
498,84161,165,1.15,2,died
499,84326,165,1.3,5,died
500,84483,157,0.9,5,died
501,84611,128,0.9,2,died
502,84762,151,0.9,4,died
503,84912,150,1.1,4,died
504,85095,183,0.6,1,died
505,85321,226,1.3,3,died
506,85420,99,0.5,2,died
507,85516,96,0.3,3,died
508,85724,208,1.3,4,died
509,85895,171,1.0,4,died
510,85976,81,0.5,1,died
511,86151,175,1.2,3,died
512,86332,181,0.9,3,died
513,86562,230,1.0,3,died
514,86759,197,1.4,4,died
515,86941,182,1.15,3,died
516,87130,189,1.1,4,died
517,87296,166,1.6,6,died
518,87460,164,1.5,5,died
519,87657,197,1.3,5,died
520,87835,178,1.1,5,died
521,87993,158,1.3,3,died
522,88094,101,1.4,3,died
523,88254,160,1.1,4,died
524,88443,189,0.85,3,died
525,88673,230,0.9,3,died
526,88854,181,1.6,7,died
527,89010,156,0.9,4,died
528,89180,170,2.25,7,died
529,89356,176,0.9,4,died
530,89506,150,1.3,5,died
531,89751,245,1.3,4,died
532,89927,176,0.8,3,died
533,90109,182,1.4,5,died
534,90264,155,1.2,4,died
535,90448,184,1.1,4,died
536,90584,136,1.0,3,died
537,90748,164,1.7,5,died
538,91159,411,2.5,6,died
539,91366,207,1.4,4,died
540,91548,182,0.7,2,died
541,91713,165,1.1,3,died
542,91875,162,1.3,3,died
543,92105,230,1.3,4,died
544,92271,166,1.3,4,died
545,92545,274,1.1,2,died
546,92728,183,1.0,3,died
547,92926,198,1.4,5,died
548,93090,164,1.25,3,died
549,93251,161,0.4,1,died
550,93445,194,1.6,6,died
551,93613,168,1.1,4,died
552,93836,223,1.5,4,died
553,93877,41,0.1,0,died
554,94052,175,1.1,5,died
555,94115,63,0.3,1,died
556,94332,217,1.1,3,died
557,94486,154,1.0,3,died
558,94669,183,0.9,3,died
559,94858,189,0.9,3,died
560,95068,210,1.5,4,died
561,95274,206,1.2,4,died
562,95442,168,1.1,3,died
563,95568,126,0.6,1,died
564,95716,148,1.1,2,died
565,95887,171,1.3,3,died
566,96161,274,1.4,2,died
567,96389,228,1.3,5,died
568,96561,172,1.4,5,died
569,96701,140,1.45,3,died
570,96873,172,1.35,4,died
571,97054,181,1.65,4,died
572,97208,154,1.1,4,died
573,97389,181,1.1,2,died
574,97542,153,0.9,4,died
575,97712,170,0.9,4,died
576,97929,217,1.0,3,died
577,98092,163,1.1,5,died
578,98391,299,2.0,5,died
579,98671,280,1.6,4,died
580,98867,196,1.45,4,died
581,99122,255,1.2,3,died
582,99315,193,1.0,5,died
583,99522,207,1.6,2,died
584,99772,250,1.5,5,died
585,99979,207,1.5,5,died
586,100067,88,0.5,1,died
587,100239,172,1.25,3,died
588,100418,179,1.2,3,died
589,100622,204,1.7,6,died
590,100796,174,1.1,4,died
591,100867,71,0.5,2,died
592,101091,224,1.0,3,died
593,101456,365,2.2,6,died
